"Country","Year","tax_rev_MLN_USD","tax_rev_PC_GDP","union_density_ADM","union_density_SVY","union_density","union_density.lin_inter","union_density.cst_inter","union_coverage","union_coverage.lin_inter","union_coverage.cst_inter","labor_share"
"Australia",2004,205.416,30.304,NA,22.6957300010196,22.6957300010196,22.6957300010196,22.6957300010196,60.9,60.9,60.9,0.593241
"Australia",2005,227.514,29.996,NA,22.4231647807626,22.4231647807626,22.4231647807626,22.4231647807626,NA,60.55,60.9,0.5845146
"Australia",2006,240.492,29.429,NA,20.3485385121159,20.3485385121159,20.3485385121159,20.3485385121159,60.2,60.2,60.2,0.5821854
"Australia",2007,290.788,29.56,NA,18.8715347305656,18.8715347305656,18.8715347305656,18.8715347305656,NA,58.25,60.2,0.5815856
"Australia",2008,282.305,26.866,NA,18.9130656824834,18.9130656824834,18.9130656824834,18.9130656824834,56.3,56.3,56.3,0.5599551
"Australia",2009,259.115,25.574,NA,19.6723947557433,19.6723947557433,19.6723947557433,19.6723947557433,NA,57.9408047771446,56.3,0.5607736
"Australia",2010,328.349,25.311,NA,18.2895140664962,18.2895140664962,18.2895140664962,18.2895140664962,59.5816095542893,59.5816095542893,59.5816095542893,0.5521483
"Australia",2011,400.524,25.934,NA,18.3587495997438,18.3587495997438,18.3587495997438,18.3587495997438,NA,58.8234826105596,59.5816095542893,0.5564135
"Austria",1970,NA,33.586,56.6895441237976,NA,56.6895441237976,56.6895441237976,56.6895441237976,95,95,95,0.8035266
"Austria",1971,NA,34.26,55.2579214968477,NA,55.2579214968477,55.2579214968477,55.2579214968477,NA,95,95,0.8315285
"Austria",1972,NA,34.678,54.3063281095021,NA,54.3063281095021,54.3063281095021,54.3063281095021,NA,95,95,0.8279311
"Austria",1973,NA,34.849,52.7943441291679,NA,52.7943441291679,52.7943441291679,52.7943441291679,NA,95,95,0.9156693
"Austria",1974,NA,35.825,52.4178403755869,NA,52.4178403755869,52.4178403755869,52.4178403755869,NA,95,95,0.9297919
"Austria",1975,NA,36.335,52.5558690744921,NA,52.5558690744921,52.5558690744921,52.5558690744921,NA,95,95,0.9765186
"Austria",1976,NA,36.205,52.3523685677132,NA,52.3523685677132,52.3523685677132,52.3523685677132,95,95,95,0.9687924
"Austria",1977,NA,36.549,51.7237192342753,NA,51.7237192342753,51.7237192342753,51.7237192342753,NA,95,95,0.9593681
"Austria",1978,NA,38.69,51.5389044816659,NA,51.5389044816659,51.5389044816659,51.5389044816659,NA,95,95,0.9849315
"Austria",1979,37.487,38.095,51.4564259375843,NA,51.4564259375843,51.4564259375843,51.4564259375843,NA,95,95,0.9506995
"Austria",1980,41.355,38.573,51.6550008946144,NA,51.6550008946144,51.6550008946144,51.6550008946144,95,95,95,0.9505504
"Austria",1981,36.29,39.647,51.8526616648803,NA,51.8526616648803,51.8526616648803,51.8526616648803,NA,95,95,0.9570817
"Austria",1982,33.143,38.423,52.0609182935647,NA,52.0609182935647,52.0609182935647,52.0609182935647,NA,95,95,0.9274056
"Austria",1983,31.899,38.114,52.0226387492,NA,52.0226387492,52.0226387492,52.0226387492,NA,95,95,0.9022102
"Austria",1984,30.923,39.774,51.9828129267182,NA,51.9828129267182,51.9828129267182,51.9828129267182,NA,95,95,0.9102073
"Austria",1985,31.914,40.436,51.3143683354419,NA,51.3143683354419,51.3143683354419,51.3143683354419,95,95,95,0.9066165
"Austria",1986,43.499,40.34,50.9052650526505,NA,50.9052650526505,50.9052650526505,50.9052650526505,NA,95.6,95,0.9044452
"Austria",1987,52.555,39.959,50.1074100719424,NA,50.1074100719424,50.1074100719424,50.1074100719424,NA,96.2,95,0.9018101
"Austria",1988,56.497,39.96,49.075640113798,NA,49.075640113798,49.075640113798,49.075640113798,NA,96.8,95,0.8086218
"Austria",1989,54.879,38.945,48.0000348979236,NA,48.0000348979236,48.0000348979236,48.0000348979236,NA,97.4,95,0.7985692
"Austria",1990,68.606,39.288,46.8377544935684,NA,46.8377544935684,46.8377544935684,46.8377544935684,98,98,98,0.7931033
"Austria",1991,72.452,39.748,45.50651992663,NA,45.50651992663,45.50651992663,45.50651992663,NA,98,98,0.7969915
"Austria",1992,83.239,41.282,44.5223213554883,NA,44.5223213554883,44.5223213554883,44.5223213554883,NA,98,98,0.8011476
"Austria",1993,78.586,41.688,44.037737704918,NA,44.037737704918,44.037737704918,44.037737704918,NA,98,98,0.793247
"Austria",1994,83.009,41.421,41.5019653903375,NA,41.5019653903375,41.5019653903375,41.5019653903375,NA,98,98,0.7736284
"Austria",1995,95.285,41.271,41.0852574653186,NA,41.0852574653186,41.0852574653186,41.0852574653186,98,98,98,0.7339105
"Austria",1996,98.804,42.641,40.1216305893506,NA,40.1216305893506,40.1216305893506,40.1216305893506,NA,98,98,0.7297057
"Austria",1997,92.91,43.44,38.8973678007386,NA,38.8973678007386,38.8973678007386,38.8973678007386,NA,98,98,0.7245932
"Austria",1998,95.407,43.447,38.3569477154969,NA,38.3569477154969,38.3569477154969,38.3569477154969,NA,98,98,0.7196949
"Austria",1999,93.59,43.09,37.8826680450156,NA,37.8826680450156,37.8826680450156,37.8826680450156,NA,98,98,0.7200123
"Austria",2000,83.241,42.285,36.9373673019618,NA,36.9373673019618,36.9373673019618,36.9373673019618,98,98,98,0.7105789
"Austria",2001,86.671,43.886,36.2319230145178,NA,36.2319230145178,36.2319230145178,36.2319230145178,NA,98,98,0.6993223
"Austria",2002,91.238,42.697,36.0466644403715,NA,36.0466644403715,36.0466644403715,36.0466644403715,NA,98,98,0.6926436
"Austria",2003,111.087,42.409,34.6035230618996,NA,34.6035230618996,34.6035230618996,34.6035230618996,NA,98,98,0.6929646
"Austria",2004,126.337,41.958,34.8025698974837,NA,34.8025698974837,34.8025698974837,34.8025698974837,NA,98,98,0.6787271
"Austria",2005,129.503,41.012,33.7884577343301,NA,33.7884577343301,33.7884577343301,33.7884577343301,98,98,98,0.6701837
"Austria",2006,135.839,40.408,31.5531198556771,NA,31.5531198556771,31.5531198556771,31.5531198556771,NA,98,98,0.6613544
"Austria",2007,157.63,40.548,30.4104242827074,NA,30.4104242827074,30.4104242827074,30.4104242827074,NA,98,98,0.6530472
"Austria",2008,177.77,41.391,29.6047267933712,NA,29.6047267933712,29.6047267933712,29.6047267933712,98,98,98,0.662573
"Austria",2009,163.992,40.98,29.3357602647562,NA,29.3357602647562,29.3357602647562,29.3357602647562,NA,98,98,0.6856485
"Austria",2010,160.51,40.958,28.8763948094736,NA,28.8763948094736,28.8763948094736,28.8763948094736,98,98,98,0.6747955
"Austria",2011,177.319,41.119,28.3176713371807,NA,28.3176713371807,28.3176713371807,28.3176713371807,NA,98,98,0.6680874
"Austria",2012,171.067,41.767,27.9746264871833,NA,27.9746264871833,27.9746264871833,27.9746264871833,NA,98,98,0.6746526
"Belgium",1970,NA,33.247,42.0717948717949,NA,42.0717948717949,42.0717948717949,42.0717948717949,85,85,85,0.6403707
