"Country","Year","URRSingle","URRFamily","URRSingle.lin_inter","URRSingle.cst_inter","URRFamily.lin_inter","URRFamily.cst_inter"
"Australia",1971,0.212614347493106,0.395489803867072,0.212614347493106,0.212614347493106,0.395489803867072,0.395489803867072
"Australia",1972,0.235874179861583,0.452347947573436,0.235874179861583,0.235874179861583,0.452347947573436,0.452347947573436
"Australia",1973,0.268001711240114,0.555224849041815,0.268001711240114,0.268001711240114,0.555224849041815,0.555224849041815
"Australia",1974,0.262692663464766,0.537243402019143,0.262692663464766,0.262692663464766,0.537243402019143,0.537243402019143
"Australia",1975,0.260826082075761,0.47367017619461,0.260826082075761,0.260826082075761,0.47367017619461,0.47367017619461
"Australia",1976,0.284480486295909,0.572064079658635,0.284480486295909,0.284480486295909,0.572064079658635,0.572064079658635
"Australia",1977,0.285340707938013,0.560732887315521,0.285340707938013,0.285340707938013,0.560732887315521,0.560732887315521
"Australia",1978,0.305089023336214,0.579784473953013,0.305089023336214,0.305089023336214,0.579784473953013,0.579784473953013
"Australia",1979,0.306322666371387,0.579326779862973,0.306322666371387,0.306322666371387,0.579326779862973,0.579326779862973
"Australia",1980,0.258385462076078,0.521898005983672,0.258385462076078,0.258385462076078,0.521898005983672,0.521898005983672
"Australia",1981,0.234370520279956,0.535820895522388,0.234370520279956,0.234370520279956,0.535820895522388,0.535820895522388
"Australia",1982,0.237115873282943,0.528800031950257,0.237115873282943,0.237115873282943,0.528800031950257,0.528800031950257
"Australia",1983,0.246271510516252,0.549424535704944,0.246271510516252,0.246271510516252,0.549424535704944,0.549424535704944
"Australia",1984,0.261527948612819,0.573150416462518,0.261527948612819,0.261527948612819,0.573150416462518,0.573150416462518
"Australia",1985,0.269659185369909,0.582230427508221,0.269659185369909,0.269659185369909,0.582230427508221,0.582230427508221
"Australia",1986,0.289839702565978,0.597734931771725,0.289839702565978,0.289839702565978,0.597734931771725,0.597734931771725
"Australia",1987,0.297588554286374,0.595406768972041,0.297588554286374,0.297588554286374,0.595406768972041,0.595406768972041
"Australia",1988,0.302468340845675,0.655494343334973,0.302468340845675,0.302468340845675,0.655494343334973,0.655494343334973
"Australia",1989,0.290111581377453,0.620527897556514,0.290111581377453,0.290111581377453,0.620527897556514,0.620527897556514
"Australia",1990,0.30082544982378,0.655229634596044,0.30082544982378,0.30082544982378,0.655229634596044,0.655229634596044
"Australia",1991,0.310258118974632,0.684446404233144,0.310258118974632,0.310258118974632,0.684446404233144,0.684446404233144
"Australia",1992,0.322171428571429,0.690888924100776,0.322171428571429,0.322171428571429,0.690888924100776,0.690888924100776
"Australia",1993,0.308793009284544,0.702886879890603,0.308793009284544,0.308793009284544,0.702886879890603,0.702886879890603
"Australia",1994,0.299127645425028,0.672804180144315,0.299127645425028,0.299127645425028,0.672804180144315,0.672804180144315
"Australia",1995,0.297676008202324,0.66190754425159,0.297676008202324,0.297676008202324,0.66190754425159,0.66190754425159
"Australia",1996,0.308767061646918,0.681458256896034,0.308767061646918,0.308767061646918,0.681458256896034,0.681458256896034
"Australia",1997,0.299982056343083,0.685897727272727,0.299982056343083,0.299982056343083,0.685897727272727,0.685897727272727
"Australia",1998,0.289128705337069,0.664020269238988,0.289128705337069,0.289128705337069,0.664020269238988,0.664020269238988
"Australia",1999,0.287092321495801,0.661873550067255,0.287092321495801,0.287092321495801,0.661873550067255,0.661873550067255
"Australia",2000,0.275927154411928,0.643605643071796,0.275927154411928,0.275927154411928,0.643605643071796,0.643605643071796
"Australia",2001,0.274314453450685,0.683971914097437,0.274314453450685,0.274314453450685,0.683971914097437,0.683971914097437
"Australia",2002,0.25991772793869,0.652610187036342,0.25991772793869,0.25991772793869,0.652610187036342,0.652610187036342
"Australia",2003,0.25259813047325,0.635725966899271,0.25259813047325,0.25259813047325,0.635725966899271,0.635725966899271
"Australia",2004,0.251608472779561,0.611787370938395,0.251608472779561,0.251608472779561,0.611787370938395,0.611787370938395
"Australia",2005,0.250044451664558,0.609937867270007,0.250044451664558,0.250044451664558,0.609937867270007,0.609937867270007
"Australia",2006,0.247011656924128,0.605594482109768,0.247011656924128,0.247011656924128,0.605594482109768,0.605594482109768
"Australia",2007,0.23537482055465,0.572579878990786,0.23537482055465,0.23537482055465,0.572579878990786,0.572579878990786
"Australia",2008,0.228341245178942,0.553310874039944,0.228341245178942,0.228341245178942,0.553310874039944,0.553310874039944
"Australia",2009,0.22462137059339,0.535413640559405,0.22462137059339,0.22462137059339,0.535413640559405,0.535413640559405
"Austria",1971,0.516445259742089,0.607997042776118,0.516445259742089,0.516445259742089,0.607997042776118,0.607997042776118
"Austria",1972,NA,NA,0.462010326746569,0.516445259742089,0.54938187081606,0.607997042776118
"Austria",1973,0.407575393751049,0.490766698856002,0.407575393751049,0.407575393751049,0.490766698856002,0.490766698856002
"Austria",1974,NA,NA,0.393460799094419,0.407575393751049,0.487214622836915,0.490766698856002
"Austria",1975,0.379346204437789,0.483662546817827,0.379346204437789,0.379346204437789,0.483662546817827,0.483662546817827
"Austria",1976,NA,NA,0.442208045422365,0.379346204437789,0.541579122046648,0.483662546817827
"Austria",1977,0.505069886406942,0.599495697275469,0.505069886406942,0.505069886406942,0.599495697275469,0.599495697275469
"Austria",1978,0.58,0.760021968222627,0.58,0.58,0.760021968222627,0.760021968222627
"Austria",1979,0.58,0.740218315904026,0.58,0.58,0.740218315904026,0.740218315904026
"Austria",1980,0.58,0.737089200157172,0.58,0.58,0.737089200157172,0.737089200157172
"Austria",1981,0.58,0.738081905644587,0.58,0.58,0.738081905644587,0.738081905644587
"Austria",1982,0.58,0.728157802053448,0.58,0.58,0.728157802053448,0.728157802053448
"Austria",1983,0.58,0.720428649452888,0.58,0.58,0.720428649452888,0.720428649452888
"Austria",1984,0.58,0.71673041007648,0.58,0.58,0.71673041007648,0.71673041007648
"Austria",1985,0.58,0.720524917856366,0.58,0.58,0.720524917856366,0.720524917856366
