"Country","Year","Ny","No","n","p","p1","dep","K","L","Y","theta","tau","u","k"
"France",1970,1.59702690912675,0.587515919434429,1.13420764298084,0.417253486705376,0.583439336814264,0.367881039497124,1,1,1,0.729751169681549,0.33749,0.373836474335429,1
"France",1971,1.61701307839298,0.598142758356976,1.13985586401093,0.421639465839358,0.590570322349973,0.369905949648484,1.06142934009661,1.00334487964406,1.05339071418715,0.72604238986969,0.33178,0.379507257516306,1.05789082261839
"France",1972,1.6366273442411,0.609541209247142,1.15155429715832,0.428881871779496,0.597100088599201,0.372437385573431,1.15493756776803,1.00982607500819,1.12975483294269,0.72944313287735,0.33607,0.382983500451993,1.14369949078475
"France",1973,1.65575258869096,0.6191645570115,1.16289719328844,0.434862509320672,0.60284498160811,0.373947509573886,1.23383053798344,1.02464161334195,1.21012281934464,0.717031717300415,0.33583,0.381162608266233,1.20415813872639
"France",1974,1.67466498923369,0.62313092428024,1.17608536378959,0.43761299393141,0.607032514728256,0.372092883225186,1.32469211372591,1.03572308960669,1.28238663431516,0.719950377941132,0.33678,0.381534159807914,1.27900220340647
"France",1975,1.6933640309621,0.619524879320285,1.19493379087447,0.437171924672709,0.609299933231612,0.365854516803629,1.40507496726826,1.03007061442343,1.28714761331592,0.738399684429169,0.35009,0.391701609583508,1.36405693706225
"France",1976,1.7089070193035,0.611557010793707,1.21386599929882,0.434399445756775,0.611213959041021,0.357864415024147,1.44647404348542,1.04042908098932,1.32393064025061,0.737064898014069,0.36838,0.391172796859736,1.39026683309352
"France",1977,1.7244105470305,0.596750789614733,1.23503007005704,0.427395419712336,0.610899213604781,0.346060739794454,1.53490191800436,1.04997900521973,1.39758337222666,0.733530104160309,0.36841,0.391108453246339,1.46184058002489
"France",1978,1.73986852887633,0.580000303117043,1.2570725316832,0.419056059303083,0.609718822963294,0.333358695493865,1.6213766957927,1.05571415599957,1.47767345102408,0.736456513404846,0.36798,0.393221879424772,1.53581032003644
"France",1979,1.75496921194425,0.567989605572044,1.33987376345447,0.433645425367729,0.609907142713148,0.323646478642662,1.68540099211843,1.06197848416704,1.53246764686112,0.734423220157623,0.38209,0.394873438839121,1.58703873689152
"France",1980,1.76980546676687,0.564410164351091,1.39082300545825,0.443548545777756,0.612781620210724,0.318910849214503,1.75588337507522,1.06571388547358,1.56379518386097,0.736165642738342,0.39528,0.397835578268124,1.64761236482804
"France",1981,1.78649580874974,0.571156769657629,1.44763400590169,0.462819984467798,0.617191696482385,0.31970786993189,1.83407205124899,1.06388234423351,1.59780180662176,0.731935262680054,0.39633,0.40448651543266,1.72394255924078
"France",1982,1.80160889639989,0.584752531704484,1.45837713192034,0.473348972562496,0.624090270483887,0.32457240462843,1.96928763923347,1.066152976817,1.70740766443045,0.732348680496216,0.404,0.408221740607819,1.84709669442821
"France",1983,1.81623951601599,0.602616766097922,1.48669825365473,0.493277062788539,0.632465533552464,0.331793665308963,2.04066644547303,1.06628511491953,1.74636117509622,0.72384637594223,0.40894,0.412916024832189,1.91380937135847
"France",1984,1.83199324182603,0.620503265863309,1.51555901973951,0.513325759007503,0.640443177044172,0.338703905503944,2.09566497749099,1.06083066832506,1.77896232456253,0.709904313087463,0.41921,0.420941822215631,1.97549433671617
"France",1985,1.84943600363809,0.635687805193055,1.46410886519229,0.503243231583542,0.646957313904233,0.343719817253786,2.18961973820791,1.06014140741186,1.84610360939735,0.703451871871948,0.42042,0.426775835808094,2.06540346683889
"France",1986,1.86451487336518,0.649251380300528,1.38647700227968,0.482791593858589,0.652969553804086,0.348214642626434,2.2472370112816,1.06719892132453,1.89357419774683,0.685174465179443,0.41711,0.427626490638615,2.10573396053708
"France",1987,1.88243364346658,0.660988291563425,1.38237635345748,0.485400687211931,0.656981933537086,0.351134975651087,2.2867519378087,1.07836226964334,1.92753106933276,0.67723137140274,0.42254,0.427144604333842,2.12057858679073
"France",1988,1.90188224962977,0.671348400435759,1.37883500755911,0.48671713349753,0.659808320991144,0.352991569570854,2.33911340829475,1.0905208500087,2.00765473984001,0.661614656448364,0.4143,0.426609691414394,2.14495065204492
"France",1989,1.92099345115636,0.681288668532267,1.3779404254994,0.488692555011143,0.662751729581994,0.354654342065643,2.43300484418086,1.10523764189556,2.11351279607467,0.656495928764343,0.41157,0.424653092268349,2.20134091706113
"France",1990,1.93897592931969,0.691483326735028,1.36164150128402,0.485592616644142,0.666510958052407,0.356622955591637,2.51594064124403,1.11485890284484,2.18143421312455,0.660033822059631,0.41173,0.425026950573854,2.2567345830257
