"Country","Year","Ny","No","n","p","p1","dep","K","L","Y","theta","tau","u","k"
"France",1986,1.73029546807843,0.602514218055068,1.38647700227968,0.482791593858589,0.652969553804086,0.348214642626434,2.2472370112816,1.06719892132453,1.89357419774683,0.685174465179443,0.41711,0.383227349887415,2.10573396053708
"France",1987,1.73980491443388,0.610906356267384,1.38237635345748,0.485400687211931,0.656981933537086,0.351134975651087,2.2867519378087,1.07836226964334,1.92753106933276,0.67723137140274,0.42254,0.380182076336861,2.12057858679073
"France",1988,1.74828192507002,0.61712878078282,1.37883500755911,0.48671713349753,0.659808320991144,0.352991569570854,2.33911340829475,1.0905208500087,2.00765473984001,0.661614656448364,0.4143,0.376232840727319,2.14495065204492
"France",1989,1.7557010822957,0.622667012205519,1.3779404254994,0.488692555011143,0.662751729581994,0.354654342065643,2.43300484418086,1.10523764189556,2.11351279607467,0.656495928764343,0.41157,0.370486438129669,2.20134091706113
"France",1990,1.76238219028369,0.628505945581033,1.36164150128402,0.485592616644142,0.666510958052407,0.356622955591637,2.51594064124403,1.11485890284484,2.18143421312455,0.660033822059631,0.41173,0.367413658063931,2.2567345830257
"France",1991,1.76749325263957,0.636835719374404,1.37015618231138,0.493673396893858,0.669647521257316,0.360304469860552,2.59645216463248,1.1168307961776,2.21309587647219,0.659945726394653,0.41552,0.368127264695506,2.32483933422944
"France",1992,1.7716915717922,0.644815857650825,1.36736494015967,0.497659192293172,0.67323691284999,0.363954916260366,2.66186383292877,1.109985596054,2.249952708016,0.657111048698425,0.41153,0.373488244948205,2.39810664425889
"France",1993,1.77542624042796,0.652431594875672,1.36377620152889,0.501158911565092,0.677052686603651,0.367478851004481,2.72541509346675,1.0991308973436,2.24617992967689,0.656771540641785,0.42353,0.380919988498839,2.47960920765086
"France",1994,1.77946681074244,0.659650389884237,1.36315038212311,0.505321411790302,0.680624114322335,0.370701148176523,2.78070148411859,1.10598815060494,2.30262307260456,0.653985440731049,0.42475,0.378472167096224,2.51422357698646
"France",1995,1.784183126525,0.66646392742253,1.36504323172948,0.509898372983644,0.683757733678898,0.373540090988631,2.8684959946737,1.11849895043955,2.38211684522774,0.654817223548889,0.42327,0.373103055504163,2.56459426586536
"France",1996,1.78999015615849,0.673027308995614,1.36202536186703,0.512114695674326,0.684336373340965,0.375994977782449,2.92448225771399,1.12651634052811,2.42123401463214,0.658546030521393,0.43455,0.370657801300018,2.59604068978085
"France",1997,1.79619216641401,0.679380733913994,1.36355900493903,0.515744214250729,0.684572022934421,0.378233880882765,2.97509266499669,1.13701953402927,2.48029172242471,0.651607394218445,0.43663,0.366983357744369,2.61657128655813
"France",1998,1.80309917822779,0.685264743952031,1.36719325108813,0.519599445472928,0.684511963571638,0.38004828144038,3.04827090548599,1.15869018284432,2.58524117184847,0.646295189857483,0.43537,0.357389656190094,2.63079031014415
"France",1999,1.81090353283895,0.690070058734681,1.3716234526465,0.522676254900105,0.684119195751951,0.381063953005193,3.12412577580151,1.18695648719069,2.68441365890138,0.653420150279999,0.44248,0.344550128890691,2.63204743351271
"France",2000,1.81959142137297,0.693625743497129,1.37651312106404,0.52472490572151,0.683436019881079,0.381198622586249,3.23484626869985,1.21508047522933,2.82478348852789,0.650442361831665,0.4343,0.3322234535968,2.66224857912339
"France",2001,1.82738060962699,0.696129542319259,1.38511006303144,0.527649264285829,0.681629704488118,0.380943925229322,3.34746587233707,1.22987155015762,2.91753077027227,0.652622997760773,0.43101,0.326975702993445,2.72180120916535
"France",2002,1.83625934148834,0.697064767274703,1.39464356691099,0.529422435837418,0.679069776692674,0.379611284487578,3.48750126870523,1.23351597259491,3.0159328077724,0.657204151153564,0.42404,0.328245229459192,2.82728505036596
