"Country","Year","Specification","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","r","Y","u","theta","tau","b","h","S","K","phi","sigma","a","alpha","gamma","omega","beta","A"
"France",1970,".cst",1,1,1.48550559563973,0.546489342702738,1.13420764298084,0.417253486705376,0.583439336814264,3.84625995412632,1,1,0.673171479754239,0.197416251494304,1,0.134547704312804,1,20.6008755201101,7.62912447988987,28.23,0.326828520245761,0.729751169681549,0.33749,11.9301194025982,6.83490542544804,5.45757048785625,1,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",1980,".cst",2,1,1.61880130424307,0.516253298645703,1.39082300545825,0.443548545777756,0.612781620210724,4.49951282919422,1,1,1.0846812208965,0.0961429279058015,2.367,0.156778973895191,0.741818071430171,25.0343765458367,4.72622057518014,26.8696450635865,0.541748533630547,0.69114991600155,0.480995776247773,11.1075794727623,6.16562613442426,5.63454505651657,1.75588337507522,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",1990,".cst",3,1,1.76238219028369,0.628505945581033,1.36164150128402,0.485592616644142,0.666510958052407,4.12627515927989,1,1,1.42757947459685,0.143022448884628,3.014,0.163487232009034,0.834751374002665,26.5672579012998,4.1520263658127,32.6233069138581,0.52635053928439,0.679791754255683,0.467550079786731,12.0122370848091,6.53949017831337,7.07761751717683,2.51594064124403,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",2000,".cst",4,1,1.81959142137297,0.693625743497129,1.37651312106404,0.52472490572151,0.683436019881079,3.89048538894652,1,1,1.77778716183384,0.187331189823336,3.71,0.169421862168373,0.871926217978397,28.0084847052483,3.72087699084872,36.457797190491,0.520812085759072,0.669852103591231,0.461950262150233,12.7213457940286,6.90013637049563,7.90513146855687,3.23484626869985,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",2010,".cst",1,2,1.97324079979518,0.866702399553922,1.32832942910956,0.583439336814264,0.685327857682168,3.37942040883403,1,1,2.76579041362957,0.357379097938077,5.456,0.180847443269772,1.00028784601471,31.0285691642778,3.04885743875984,47.6768549937106,0.493073604540035,0.650997231640977,0.440197550971836,14.4962442071273,7.94167777747685,9.89535863985481,5.45757048785625,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",2020,".cst",2,2,1.83717278352147,0.991971686013303,1.13489702454898,0.612781620210724,0.707316362457828,2.77677760931085,1,1,3.06696523432943,0.879761376954637,4.674,0.176200854500299,1.20550814217299,29.7595765031266,3.30019256545489,54.4704954873758,0.343824297319336,0.658620992174631,0.351320442140463,16.1857899419262,8.98473967079223,10.758593356117,5.63454505651657,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",2030,".cst",3,2,1.85812632086635,1.17464704210048,1.05432654228493,0.666510958052407,0.742598301973306,2.40968991653152,1,1,3.80900772875168,1.68578747773952,5.036,0.178430813265391,1.4054045903846,30.361377332368,3.17614639139536,65.1495684101666,0.243644215895219,0.654954746663374,0.301425870050782,17.7436290785232,9.87942629920602,12.5593822449791,7.07761751717683,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",2040,".cst",4,2,1.81585672907761,1.24357431883289,0.997947510495219,0.683436019881079,0.773731138264388,2.25530096863527,1,1,4.35338941777219,2.28399914914015,5.44,0.180758439173818,1.45314916701413,31.003714986515,3.05341951770278,69.1907053230958,0.199744592321289,0.651142698959583,0.282352937710713,18.5704425943663,10.2933606432331,13.3247286966411,7.90513146855687,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",2050,".cst",1,3,1.92115195712475,1.35231689001468,0.973602389188466,0.685327857682168,0.800578416558011,2.22017595712673,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",2060,".cst",2,3,1.84621643783986,1.29946237044693,1.00492259323647,0.707316362457828,0.819853976974278,2.23900358479586,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",2070,".cst",3,3,1.87868886093398,1.37984145072725,1.01106627673088,0.742598301973306,0.858609575026038,2.18158881896264,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
"France",2080,".cst",4,3,1.83170370187444,1.40498489391427,1.00872699511094,0.773731138264388,0.897365173077799,2.12336349878076,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270248830318451,1.27882141577231,NA,0.66897175856968,0.5,0.982570839854923,0.739004473921546,28.23
