"Specification","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","r","Y","u","theta","tau","b","h","S","K","alpha","gamma","phi","sigma","a","omega","beta","A"
"baseline","France",1970,1,1,1.48550559563973,0.546489342702738,1.13420764298084,0.417253486705376,0.583439336814264,3.84625995412632,1,1,0.673171479754239,0.197416251494304,1,0.134547704312804,1,20.6008755201101,7.62912447988987,28.23,0.326828520245761,0.729751169681549,0.33749,11.9301194025982,6.83490542544804,5.45757048785625,1,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",1980,2,1,1.61880130424307,0.516253298645703,1.39082300545825,0.443548545777756,0.612781620210724,4.49951282919422,1,1,1.0846812208965,0.0961429279058015,2.367,0.156778973895191,0.741818071430171,25.0343765458367,4.72622057518014,26.8696450635865,0.541748533630547,0.69114991600155,0.480995776247773,11.1075794727623,6.16562613442426,5.63454505651657,1.75588337507522,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",1990,3,1,1.76238219028369,0.628505945581033,1.36164150128402,0.485592616644142,0.666510958052407,4.12627515927989,1,1,1.42757947459685,0.143022448884628,3.014,0.163487232009034,0.834751374002665,26.5672579012998,4.1520263658127,32.6233069138581,0.52635053928439,0.679791754255683,0.467550079786731,12.0122370848091,6.53949017831337,7.07761751717683,2.51594064124403,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",2000,4,1,1.81959142137297,0.693625743497129,1.37651312106404,0.52472490572151,0.683436019881079,3.89048538894652,1,1,1.77778716183384,0.187331189823336,3.71,0.169421862168373,0.871926217978397,28.0084847052483,3.72087699084872,36.457797190491,0.520812085759072,0.669852103591231,0.461950262150233,12.7213457940286,6.90013637049563,7.90513146855687,3.23484626869985,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",2010,1,2,1.97324079979518,0.866702399553922,1.32832942910956,0.583439336814264,0.685327857682168,3.37942040883403,1,1,2.76579041362957,0.357379097938077,5.456,0.180847443269772,1.00028784601471,31.0285691642778,3.04885743875984,47.6768549937106,0.493073604540035,0.650997231640977,0.440197550971836,14.4962442071273,7.94167777747685,9.89535863985481,5.45757048785625,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",2020,2,2,1.83717278352147,0.991971686013303,1.13489702454898,0.612781620210724,0.707316362457828,2.77677760931085,1,1,3.06696523432943,0.879761376954637,4.674,0.176200854500299,1.20550814217299,29.7595765031266,3.30019256545489,54.4704954873758,0.343824297319336,0.658620992174631,0.351320442140463,16.1857899419262,8.98473967079223,10.758593356117,5.63454505651657,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",2030,3,2,1.85812632086635,1.17464704210048,1.05432654228493,0.666510958052407,0.742598301973306,2.40968991653152,1,1,3.80900772875168,1.68578747773952,5.036,0.178430813265391,1.4054045903846,30.361377332368,3.17614639139536,65.1495684101666,0.243644215895219,0.654954746663374,0.301425870050782,17.7436290785232,9.87942629920602,12.5593822449791,7.07761751717683,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",2040,4,2,1.81585672907761,1.24357431883289,0.997947510495219,0.683436019881079,0.773731138264388,2.25530096863527,1,1,4.35338941777219,2.28399914914015,5.44,0.180758439173818,1.45314916701413,31.003714986515,3.05341951770278,69.1907053230958,0.199744592321289,0.651142698959583,0.282352937710713,18.5704425943663,10.2933606432331,13.3247286966411,7.90513146855687,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",2050,1,3,1.92115195712475,1.35231689001468,0.973602389188466,0.685327857682168,0.800578416558011,2.22017595712673,1,1,5.15074229456815,2.45449860257265,6.661,0.186966714634289,1.48556652752662,32.7906399050002,2.75648588468568,75.9890934737092,0.22673137748564,0.64104827195893,0.296346815719648,19.1385899139974,10.4876564623929,14.862402687897,9.89535863985481,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",2060,2,3,1.84621643783986,1.29946237044693,1.00492259323647,0.707316362457828,0.819853976974278,2.23900358479586,1,1,5.82737383093876,2.36125122466793,7.974,0.192604292092481,1.34920909908665,34.5111024085935,2.5203687179501,73.6783155330887,0.269203181472441,0.631972827449815,0.316946916374003,19.4431357095598,10.534151728541,14.6878907252892,10.758593356117,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",2070,3,3,1.87868886093398,1.37984145072725,1.01106627673088,0.742598301973306,0.858609575026038,2.18158881896264,1,1,6.68518481486885,2.66003203392455,9.22,0.197236364047166,1.36218896366368,35.9987245833911,2.34685082932247,78.5120619708709,0.274925725068455,0.624580021241286,0.320591733687272,20.0797950739414,10.7252220622192,15.9385426724031,12.5593822449791,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","France",2080,4,3,1.83170370187444,1.40498489391427,1.00872699511094,0.773731138264388,0.897365173077799,2.12336349878076,1,1,7.27450006406903,3.0114239050358,9.908,0.19955958356268,1.34484544778372,36.7711826484208,2.26602886031866,79.6457773768573,0.26579531044923,0.620893652156398,0.317055681568113,20.5695726266781,10.845440459771,16.4255072384365,13.3247286966411,0.66897175856968,0.5,0.270248830318451,1.27882141577231,NA,0.982570839854923,0.739004473921546,28.23
"baseline","United States",1970,1,1,1.5292795645603,0.45598255062876,1.59727372629601,0.476256248136138,0.560957405255052,3.00821080726832,1,1,0.653902676249728,0.142415238128972,1,0.170099987957235,1,15.4236029171944,7.41639708280562,22.84,0.346097323750272,0.67528909444809,0.25721,9.66447791345474,1.66555877459957,4.52187627888963,1,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",1980,2,1,1.782992923458,0.54880284102489,1.76140352737387,0.542157653738335,0.634152212887378,3.01784337176523,1,1,0.797412309316031,0.140031501588137,1.296,0.17679439071515,1.097052858479,16.531754455479,6.44240966246432,27.2959009417224,0.384712724293186,0.664429744223413,0.282913346974748,9.93367065123422,1.65537044310799,5.90345018169819,1.42178050458879,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",1990,3,1,1.9579478111275,0.607457287161162,1.60929895769471,0.499288271891971,0.668439713869851,3.04219763970614,1,1,0.960757995536182,0.13421318118154,1.666,0.183457794788051,1.12912005665265,17.7197958988937,5.63346809805022,30.6049727380557,0.423314528489686,0.653742681637926,0.309094882951478,10.1906624510534,1.66849029834067,6.8812479135479,1.88111401438331,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",2000,4,1,2.19587923516963,0.645645510635254,1.70356699419654,0.500892929015935,0.644116777375506,3.17399097505032,1,1,1.07681431169911,0.107287530571471,2.051,0.189106909484681,1.15287868707633,18.7987371435159,5.0495895791618,33.6126915797257,0.474980832911208,0.644776195482723,0.347119273648067,10.1586134724561,1.6606228173355,7.45167015936869,2.36455418719356,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",2010,1,2,2.53428059597028,0.857860696445322,1.65717286407272,0.560957405255052,0.647220327049491,2.76095285202702,1,1,1.78428398421225,0.22398945642273,3.218,0.201756331391924,1.40518218734917,21.4792027210949,4.00475038440704,48.2911788282686,0.445530147852006,0.625004271887359,0.316023932985518,12.0070799131808,1.98632883720899,10.3338443785913,4.52187627888963,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",2020,2,2,2.57490120030118,1.13068890797343,1.4441454962745,0.634152212887378,0.687350319801348,2.16820059796177,1,1,2.29268998010786,0.802416078411499,3.113,0.200805716556697,1.89638618107876,21.2641217960449,4.07270554236985,64.368001000902,0.263511088947043,0.626475672690695,0.190214783526139,14.0866745320692,2.3752997986898,13.2962541660344,5.90345018169819,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",2030,3,2,2.53631450671889,1.30877007464217,1.29539433702185,0.668439713869851,0.723180221906701,1.87540329832733,1,1,2.71308936463477,1.72606169608173,3.103,0.200713675226969,2.21761131599997,21.2434204516304,4.07936621566681,75.1807798442357,0.125656021709709,0.626618261764315,0.111189151684199,15.4477399522913,2.62539859996813,15.2573961745084,6.8812479135479,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",2040,4,2,2.62225022135419,1.41440265646325,1.19416868621722,0.644116777375506,0.732544941351919,1.80171368933334,1,1,2.84170827737426,2.13291193518227,3.096,0.200649086544399,2.40687020651444,21.2289065314988,4.08404888379733,81.5282078443398,0.0821355693235593,0.626718334654177,0.0886640998361543,15.829431306856,2.70027915498118,16.4356538943545,7.45167015936869,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",2050,1,3,2.89444015726975,1.64023791615906,1.14211510827655,0.647220327049491,0.747184873752377,1.7261860282544,1,1,3.57023943045999,2.67404549429573,3.894,0.207278510477076,2.65378643518009,22.7758698826224,3.63836662356293,98.04060902409,0.0831434436415035,0.616502642584345,0.0895478896855963,16.8543561437778,2.87962255697238,19.6912371457232,10.3338443785913,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",2060,2,3,2.89065045083271,1.76985916348389,1.1226257731732,0.687350319801348,0.770998225823901,1.61463822150499,1,1,4.59974472603707,3.80496048153655,4.873,0.213899376407568,2.72855615966231,24.4427996167743,3.25558847214385,109.980683239377,0.0560753691694921,0.606411503268986,0.0769398321303854,18.2173683255656,3.11265665311805,21.9526749711688,13.2962541660344,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",2070,3,3,2.80357441480813,1.83421248779415,1.10537333102076,0.723180221906701,0.807877912939298,1.53565149865467,1,1,5.44212277509765,4.95860038367962,5.6,0.218072038391295,2.72453503116221,25.5606935820681,3.04156900353093,116.047428364124,0.0281923615897054,0.600108128778468,0.0646485883464901,19.2238317676851,3.26181543881292,23.3862472584064,15.2573961745084,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
"baseline","United States",2080,4,3,2.83511585119552,1.92091613461196,1.08117670392698,0.732544941351919,0.844757600054696,1.50658307740546,1,1,5.79717188185585,5.48503974740921,5.897,0.219635753814807,2.78712123017712,25.9937541901934,2.96620828270927,121.199316868671,0.0169286278012796,0.597757033845303,0.0598941597502251,19.6182002165627,3.28882820434508,24.9319899676294,16.4356538943545,0.66897175856968,0.5,0.32471090555191,1.23365228439284,NA,1.53326307965775,0.137863456734155,22.84
