"countrycode","year","v_c","v_i","v_g","v_x","v_m","v_gdp","q_c","q_i","q_g","q_x","q_m","q_gdp","pop","xr","xr2","v_gfcf","q_gfcf","emp","avh"
"ABW",1970,190.088493,104.832028,46.397118,329.084418,303.871063,353.74688,273.190291020015,119.433299453003,69.1153567901635,445.736416478461,391.184712306345,468.555155833344,0.059063,1.79,1.79,103.706505,111.510397589277,NA,NA
"ABW",1971,200.221731,110.42043,48.870444,346.627254,320.069766,372.604474,298.019110168372,130.287976174394,75.3968997441193,486.247089790693,426.737440386658,511.139668137556,0.05944,1.79,1.79,109.234925,121.644998562542,NA,NA
"ABW",1972,210.895206,116.306757,51.475666,365.105375,337.132239,392.467331,325.104521752351,142.129179362537,82.2493134743487,530.439549906611,465.52136063402,557.594506622531,0.05984,1.79,1.79,115.058025,132.700684937311,NA,NA
"ABW",1973,222.137686,122.50682,54.219742,384.5685,355.104176,413.389041,354.651653888312,155.046523280863,89.7245267559285,578.648461686221,507.83021810705,608.271350081885,0.060243,1.79,1.79,121.191526,144.761124007162,NA,NA
"ABW",1974,233.97926,129.037449,57.109995,405.068867,374.033561,435.426048,386.883976074144,169.13793783671,97.8791789821552,631.238762236351,553.984268525396,663.553970605682,0.060528,1.79,1.79,127.652126,157.917756334449,NA,NA
"ABW",1975,246.452484,135.91628,60.154626,426.662811,393.973659,458.637808,422.045805796906,184.510049793953,106.774796388123,688.608766128906,604.332851163374,723.860929743353,0.060657,1.79,1.79,134.456907,172.270116282896,NA,NA
"ABW",1976,259.590533,143.161498,63.361268,449.407329,414.975314,483.086944,460.403813009024,201.278960976748,116.479064217958,751.193081134059,659.257885511704,789.648857265247,0.060586,1.79,1.79,141.624463,187.926626334849,NA,NA
"ABW",1977,273.427835,150.793381,66.738456,473.363029,437.094107,508.839417,502.246724396706,219.572525821457,127.065478189609,819.464646384161,719.174198214811,861.41597313781,0.060366,1.79,1.79,149.174794,205.006629271781,NA,NA
"ABW",1978,288.005448,158.832222,70.297481,498.600336,460.401814,535.964707,547.893421188745,239.528438043162,138.613044877552,893.941500955437,784.535212118997,939.705574563114,0.060103,1.79,1.79,157.126089,223.638724524315,NA,NA
"ABW",1979,303.358245,167.297899,74.043739,525.177643,484.939418,564.535997,597.690998305977,261.296385192608,151.21168000772,975.188770730397,855.840444903956,1025.11049616805,0.05998,1.79,1.79,165.502197,243.962635888553,NA,NA
"ABW",1980,319.524635,176.21806,77.988942,553.167796,510.778983,594.63037,652.006493474735,285.047245075771,164.955425931336,1063.81511268481,933.6205764079,1118.27752647969,0.060096,1.79,1.79,174.327924,266.137913298544,NA,NA
"ABW",1981,336.56941,185.612667,82.154357,582.676178,538.050766,626.329019,711.26760613045,310.952700669231,179.942428289507,1160.50151244736,1018.467813614,1219.91185741726,0.060567,1.79,1.79,183.614453,290.324868361463,NA,NA
"ABW",1982,354.503969,195.49971,86.523497,613.715679,566.681283,659.717464,775.922924816818,339.205120787367,196.304010217536,1265.9820798128,1111.05097356384,1330.78328482972,0.061345,1.79,1.79,193.406091,316.703095064993,NA,NA
"ABW",1983,373.379078,205.935016,91.131203,646.411191,596.856071,694.885785,846.40337713376,370.055629691995,214.146189341032,1381.01568907037,1212.00181360955,1451.73132638995,0.062201,1.79,1.79,203.730733,345.507114855628,NA,NA
"ABW",1984,393.355764,216.909813,96.033618,680.986308,628.917876,731.928864,923.371438255919,403.670359370171,233.579418104201,1506.55276553753,1322.14191456101,1583.67160424547,0.062836,1.79,1.79,214.549037,376.891865544591,NA,NA
"ABW",1985,414.248061,228.434466,101.075154,717.112153,662.042224,770.946641,1007.33801723394,440.318148329547,254.868389149494,1643.51266867877,1442.42730553741,1727.6032456736,0.063026,1.79,1.79,226.026833,411.108591034052,NA,NA
"ABW",1986,436.251165,240.703512,106.479554,755.324909,697.367733,812.044385,1098.63591041969,480.486273281526,278.005750039631,1792.71708128895,1573.29856910787,1884.61602981282,0.062644,1.79,1.79,238.130889,448.612047930688,NA,NA
"ABW",1987,525.110634,289.390966,128.306914,909.045474,840.088967,976.54886,1275.69329627672,557.543765900984,322.5372277851,2081.20172381956,1826.31263196033,2187.63274025241,0.061833,1.79,1.79,286.085141,520.557698761384,NA,NA
"ABW",1988,641.471768,353.753793,156.242246,1110.261524,1023.887478,1194.491095,1513.65934992048,661.366724436052,383.19216290965,2469.42449726517,2167.69403985092,2595.59673459778,0.061079,1.79,1.79,350.390613,617.493253586729,NA,NA
"ABW",1989,747.690383,413.23907,182.67896,1295.182346,1196.044284,1392.525145,1695.46281136542,742.71597862473,429.206239809823,2767.74910994962,2428.63149574491,2910.43849157719,0.061032,1.79,1.79,408.63892,693.446020557797,NA,NA
"ABW",1990,826.00006,453.608576,202.479009,1429.316058,1324.636398,1531.882439,1766.13911475541,770.325346243983,445.408979478081,2879.53866721294,2526.2053990281,3025.73278841573,0.062149,1.79,1.79,447.424978,719.223890572973,NA,NA
"ABW",1991,934.366593,516.31223,225.400603,1616.227229,1481.027158,1746.681277,1905.25473539794,831.786001747796,484.174255231646,3108.27761477588,2731.14985793105,3266.66801929124,0.064622,1.79,1.79,514.379237,776.607388071825,0.0292000006884336,NA
"ABW",1992,1030.135983,573.10162,254.025125,1788.902915,1658.677365,1919.568146,2008.50195915169,886.675168685499,508.41425986251,3284.92694737206,2879.10371015478,3458.82505580102,0.068235,1.79,1.79,563.950825,827.855345740868,0.030903272330761,NA
"ABW",1993,1184.307876,638.064177,293.133283,2042.914605,1913.30506,2168.944357,2179.40045078377,938.267075450522,543.427764595554,3540.15701909493,3103.85564135297,3711.58547747709,0.072504,1.79,1.79,624.538583,876.024723226672,0.0329118072986603,NA
"ABW",1994,1302.755453,733.66788,298.534379,2250.828475,1989.811205,2495.053851,2336.73734132325,1023.05252142738,607.413112334055,3819.30636932356,3371.67112713287,4016.08016624772,0.0767,1.79,1.79,752.837726,955.185725444275,0.0348959788680077,NA
"ABW",1995,1342.130618,761.607277,352.270567,2357.786904,2260.797167,2477.239523,2359.03769095817,1076.61932883785,589.980888699057,3887.67263577378,3381.40377304025,4116.75304018989,0.080324,1.79,1.79,722.594603,1005.1991327472,0.0366280153393745,NA
"ABW",1996,1486.13122,727.459125,371.675302,2515.286129,2423.388744,2588.317099,2528.67698438417,1009.16669337131,603.045734484547,4026.63360538912,3533.91127907365,4168.01050415756,0.0832,1.79,1.79,699.912261,942.221163901516,0.0380256958305836,NA
"ABW",1997,1537.881437,858.877772,482.879358,2659.856313,2615.84408,2873.34635,2542.61577831492,1170.94491753111,744.785480272899,4235.66899600842,3816.90418889219,4493.71688857997,0.085451,1.79,1.79,836.006312,1093.26737966882,0.0391430407762527,NA
"ABW",1998,1687.507063,977.878909,488.850046,2790.322089,2757.420419,3123.794847,2737.67887514403,1324.94333551873,706.833589355911,4379.37657575637,4147.32606462844,4793.29605306572,0.087277,1.79,1.79,920.25501,1237.04982918119,0.0400699265301228,NA
"ABW",1999,1802.662545,985.339763,503.000575,2897.844694,2887.051254,3231.529616,2860.31455043732,1322.95595149945,696.462692260775,4436.10122747431,4223.34649468129,4848.63293233333,0.089005,1.79,1.79,971.149865,1235.19429716395,0.0409555025398731,NA
"ABW",2000,1863.221549,884.685497,536.093111,2931.977362,2621.894256,3514.117257,2779.77695242064,1061.51306145618,762.091576847357,4101.42374721572,3328.55653934854,5067.50349933774,0.090853,1.79,1.79,871.012726,991.095008843372,0.0419000014662743,NA
"ABW",2001,1926.154106,843.035099,629.385105,2847.745484,2605.557674,3601.926718,2855.25841215902,1085.39597699763,819.873333470066,4083.00874599634,3619.32943115956,5049.02261120783,0.092898,1.79,1.79,829.1044,1013.3935338321,0.0428076572716236,NA
"ABW",2002,2048.070956,967.70127,652.349862,2651.846302,2667.12126,3640.996725,2938.55145405948,1224.87146697768,829.184452448077,3707.81465038422,3688.08726923422,4939.7384362501,0.094992,1.79,1.79,952.388328,1143.61651593261,0.0437363088130951,NA
"ABW",2003,2190.677208,1093.537667,667.537799,2683.680304,2835.486497,3791.451763,3032.29570708598,1358.53276406264,858.192630443736,3690.4764903854,3853.88680666573,4962.72225706492,0.097017,1.79,1.79,1058.520085,1268.41101658491,0.0446316227316856,NA
"ABW",2004,2312.829681,1188.293616,689.420369,3051.030321,3025.209852,4179.671038,3122.39680223593,1452.40109084959,850.479880858576,4031.89030375378,3960.34699111769,5335.89298859952,0.098737,1.79,1.79,1159.326893,1356.05243214954,0.04538519307971,NA
"ABW",2005,2473.390353,1449.578721,719.982826,3361.73868,3596.658412,4372.369674,3229.41578625567,1732.56351551907,870.187983491156,4213.16688193535,4488.26580046587,5398.67967258778,0.100031,1.79,1.79,1445.815671,1617.62948755726,0.0459417924284935,NA
"ABW",2006,2657.857375,1579.155437,736.54402,3336.491789,3738.190509,4542.066869,3349.42974993048,1844.51182291428,843.904526782567,4123.87934962438,4552.49382406883,5412.61225349558,0.100834,1.79,1.79,1579.155437,1722.1515020705,0.0462720952928066,NA
"ABW",2007,2972.79604,1575.016105,759.771756,3615.505623,3964.246277,4898.943551,3555.85255114875,1778.76372588372,851.497576715401,4281.81323446637,4694.56574034558,5564.67615831466,0.101222,1.79,1.79,1575.016105,1660.76499896195,0.0464114993810654,NA
"ABW",2008,3054.905049,1690.917421,809.224356,3884.01266,4236.61591,5142.791842,3352.77039263038,1814.12274261102,849.37284337273,4353.35437072326,4615.17565383346,5434.70498365129,0.101358,1.79,1.79,1690.917421,1693.7782409366,0.0464351586997509,NA
"ABW",2009,2859.193164,1402.198963,850.434856,3330.65468,3762.450152,4681.25924,3205.16568369822,1513.05445512965,895.488497612954,3739.00131936188,4263.71266799017,4970.47450152704,0.101455,1.79,1.79,1402.198963,1412.68216411227,0.0464408583939075,NA
"ABW",2010,2909.808307,1281.123481,870.665464,3049.306002,3659.898023,4478.226758,3195.60927736946,1349.89744444036,874.370795112152,3369.93345654352,3878.56273505374,4808.45259711927,0.101669,1.79,1.79,1281.123481,1260.34861770728,0.0465000011026859,NA
"ABW",2011,3156.135334,1346.317971,888.648228,3613.170779,4216.767111,4776.496126,3321.34669610736,1369.5906716809,846.229941001515,3841.52335614362,4218.83211685935,4824.87801202646,0.102046,1.79,1.79,1346.317971,1278.73542178084,0.0456899367272854,NA
"ABW",2012,3186.504419,1251.113318,955.334309,3455.568823,4124.139381,4748.239028,3333.75589409899,1254.38385543531,902.813486401329,3616.91743909971,4043.69742314656,4758.78440612775,0.10256,1.79,1.79,1251.113318,1171.17118112321,0.0459200739860535,NA
"ABW",2013,3234.87,1147.63,959.83,3699.56,4205.74,4836.15,3467.10607966444,1152.06474324035,920.268981246561,3828.11661824865,4057.7745058391,4958.56864755059,0.103159,1.79,1.79,1072.12,1075.63968212541,0.0461882688105106,NA
"ABW",2014,3265.81,1152.02,900.99,3838.67,4207.67,4949.82,3484.4416178953,1118.80401212551,845.335144552659,3950.62062764143,3998.23405759456,4972.08280165572,0.103774,1.79,1.79,1076.51,1044.58545862223,0.0464636273682117,NA
"ABW",2015,3241.76,1126.77,890.67,3841.64,3874.94,5225.91,3332.1566695605,1061.88657199521,883.283200383602,3950.86734748016,3877.82527565694,5256.61712194762,0.104341,1.79,1.79,1051.26,991.443687349588,0.0467174984514713,NA
"ABW",2016,3257.43,1136.13,891.18,3784.71,3760.55,5308.9,3329.62621079949,1121.27076387787,882.647829956609,3897.60217418014,3874.05462133388,5364.92124650329,0.104872,1.79,1.79,1060.62,1046.88838575781,0.0469552464783192,NA
"ABW",2017,3326.28,1138.27,913.15,4011.71,3918.8,5470.61,3326.28,1138.27,913.15,4011.71,3918.8,5470.61,0.105366,1.79,1.79,1062.76,1062.76,0.0471764281392097,NA
"ABW",2018,3520.303135,1218.749145,965.573962,4168.970566,4139.992465,5733.608,3326.27947094433,1141.30902210502,904.808623421174,4242.80277987826,4051.12623790466,5520.31159204433,0.105845,1.79,1.79,1137.570253,1065.59734215449,0.0473908968269825,NA
"ABW",2019,3606.64705,1246.967245,988.694202,4270.270285,4218.028035,5894.552,3308.61194364786,1140.09887681291,895.081231643206,4184.1292581442,3956.12185061101,5481.64505865329,0.106314,1.79,1.79,1164.080875,1064.46760756112,0.0476008877158165,NA
"AFG",1970,69.796803,4.257383,5.045538,7.452582,8.787168,77.911878,179842.403544328,103106.981493419,22024.8738788303,12342.8893868989,11511.8431267725,679115.63901805,11.173642,0.0449984270799263,0.0449984270799263,4.257383,104002.292882127,NA,NA
"AFG",1971,75.391553,4.4554,5.449977,8.710809,12.432907,81.574837,171966.29336565,109980.774695121,22604.4758183214,15942.8975915618,16795.9690624656,677243.21160754,11.475445,0.0449984270799263,0.0449984270799263,4.4554,110935.775677314,NA,NA
"AFG",1972,67.444176,4.655393,4.875469,10.244089,13.066209,74.152916,166359.275233036,100686.585791143,23640.7860486057,19311.9596240422,17585.0262296495,590487.650886055,11.791215,0.0449984270799263,0.0449984270799263,4.655393,97068.8070365524,NA,NA
"AFG",1973,67.858699,5.477588,4.905434,10.210753,11.832916,76.619555,179233.771335957,97588.5594075036,24806.6318074775,24034.6692327487,18396.6466115278,578563.608671019,12.108963,0.0449984270799263,0.0449984270799263,5.477588,97068.8117292704,NA,NA
"AFG",1974,80.044067,7.877509,5.786301,12.821782,13.755081,92.774575,193504.091755252,119274.960995601,25519.0920697564,32547.5824478723,25453.2197696197,606897.523364946,12.41295,0.0449984270799263,0.0449984270799263,7.877509,124802.73639705,NA,NA
"AFG",1975,89.442104,9.977433,6.465676,13.521749,15.021699,104.385259,198124.65980999,140651.49609633,33356.1958698322,36127.1929668533,30074.9142012207,643583.768787506,12.68916,0.0449984270799263,0.0449984270799263,9.977433,144216.502481612,NA,NA
"AFG",1976,93.669662,14.521726,6.771281,14.821708,16.6772,113.107176,199447.927558871,200289.078486686,36918.485036713,45602.7070106397,36364.9501069744,679781.62703902,12.943093,0.0449984270799263,0.0449984270799263,14.521726,214938.088578033,NA,NA
"AFG",1977,108.445462,16.321653,7.839408,15.432795,19.12156,128.917758,212491.102469462,206330.07641182,39574.0308564607,49453.0399843936,43940.0413649614,660732.848367532,13.171306,0.0449984270799263,0.0449984270799263,16.321653,202457.791016035,NA,NA
"AFG",1978,121.024529,19.68821,8.748737,15.96611,20.399289,145.028303,220360.461882125,228481.230776743,42488.6476825668,52130.2480743964,48178.4749717747,690635.618751856,13.341198,0.0449984270799263,0.0449984270799263,19.68821,234351.828066075,NA,NA
