"countrycode1","countrycode2","year","cor_exp"
"JPN","BEL",1970,0.494908626520454
"JPN","COL",1970,0.486871621691766
"JPN","DEU",1970,0.51281885727778
"JPN","FRA",1970,0.582359631624281
"JPN","GBR",1970,0.525510350645681
"JPN","HUN",1970,0.493732229191433
"JPN","IND",1970,0.258324793511414
"JPN","IRN",1970,0.49839554031982
"JPN","ITA",1970,0.655483593693488
"JPN","JPN",1970,1
"JPN","KEN",1970,0.401556416262121
"JPN","KOR",1970,0.400173394658509
"JPN","MYS",1970,0.509399929539042
"JPN","NLD",1970,0.474130534594739
"JPN","PHL",1970,0.489210632743037
"JPN","USA",1970,0.546338331212141
"KEN","BEL",1970,0.39013441727996
"KEN","COL",1970,0.501958911918308
"KEN","DEU",1970,0.367495779972688
"KEN","FRA",1970,0.385600889044951
"KEN","GBR",1970,0.484389927098154
"KEN","HUN",1970,0.319051153930326
"KEN","IND",1970,0.57588860936344
"KEN","IRN",1970,0.606008940001338
"KEN","ITA",1970,0.46818384626762
"KEN","JPN",1970,0.401556416262121
"KEN","KEN",1970,1
"KEN","KOR",1970,0.321658465883935
"KEN","MYS",1970,0.458439830157679
"KEN","NLD",1970,0.374069512076557
"KEN","PHL",1970,0.335010836275822
"KEN","USA",1970,0.441065004337124
"KOR","BEL",1970,0.222748002737675
"KOR","COL",1970,0.335874807580995
"KOR","DEU",1970,0.24973853801415
"KOR","FRA",1970,0.22673599567551
"KOR","GBR",1970,0.24527969138699
"KOR","HUN",1970,0.233461733445214
"KOR","IND",1970,0.716172701982913
"KOR","IRN",1970,0.433552445081806
"KOR","ITA",1970,0.293329811495477
"KOR","JPN",1970,0.400173394658509
"KOR","KEN",1970,0.321658465883935
"KOR","KOR",1970,1
"KOR","MYS",1970,0.528877065826262
"KOR","NLD",1970,0.244938279266427
"KOR","PHL",1970,0.79769675731806
"KOR","USA",1970,0.223117994415407
"MYS","BEL",1970,0.584679436108748
"MYS","COL",1970,0.480157770107544
"MYS","DEU",1970,0.630625969489989
"MYS","FRA",1970,0.668299443254698
"MYS","GBR",1970,0.636005354597978
"MYS","HUN",1970,0.435081043975928
"MYS","IND",1970,0.454381215461114
"MYS","IRN",1970,0.591850789105211
"MYS","ITA",1970,0.567842699483729
"MYS","JPN",1970,0.509399929539042
"MYS","KEN",1970,0.458439830157679
"MYS","KOR",1970,0.528877065826262
"MYS","MYS",1970,1
"MYS","NLD",1970,0.659976874105556
"MYS","PHL",1970,0.666760334482867
"MYS","USA",1970,0.671522383832169
"NLD","BEL",1970,0.82192747933178
