"countrycode","year","emp","avh","i_emp","yr_sch","source","labsh","i_labsh","i_labsh2","comp_sh","lab_sh1","lab_sh2","lab_sh3","lab_sh4","i_comp_sh","i_lab_sh1","i_lab_sh2","i_lab_sh3","i_lab_sh4"
"ABW",1970,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1971,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1972,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1973,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1974,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1975,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1976,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1977,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1978,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1979,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1980,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1981,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1982,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1983,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1984,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1985,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1986,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1987,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1988,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1989,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
"ABW",1990,NA,NA,NA,NA,NA,NA,NA,NA,0.609778583049774,0.669280409812927,0.648357033729553,0.61732941865921,0.610007226467133,0,0,0,0,0
