"Country","Year","total","child","young","old","young_1564","dep","young_prop","young_prop_mean5059","young.40y_before","n","p"
"South Korea",1993,44340.558,14720.265,25779.608,3840.685,31266.678,0.14898151282983,0.581400170922522,0.423488144068169,8615.347,2.99228899311891,0.445795741018904
"South Korea",1994,44825.885,14580.195,26240.93,4004.76,31686.984,0.152615017836639,0.58539680811656,0.423488144068169,8826.177,2.97307996429258,0.453736651780266
"South Korea",1995,45298.611,14399.409,26712.499,4186.703,32159.966,0.156731985277753,0.589697971092315,0.423488144068169,9057.085,2.94934838306144,0.46225722735295
"South Korea",1996,45757.361,14343.312,27050.859,4363.19,32506.216,0.161295802103734,0.591180487878224,0.423488144068169,9384.074,2.88263487692019,0.464956904645041
"South Korea",1997,46202.604,14200.81,27437.161,4564.633,32960.175,0.166366811784936,0.59384447248904,0.423488144068169,9707.16,2.82648694365808,0.470233621368143
"South Korea",1998,46627.442,14004.049,27842.488,4780.905,33455.223,0.171712563905927,0.597126644862911,0.423488144068169,10021.541,2.77826414121341,0.477062858895654
"South Korea",1999,47023.88,13802.418,28226.628,4994.834,33887.986,0.176954682649305,0.60026156922823,0.423488144068169,10329.63,2.73258848574441,0.483544328306046
"South Korea",2000,47386.312,13609.474,28578.798,5198.04,34212.724,0.181884486534388,0.603102389567688,0.423488144068169,10633.63,2.68758627110404,0.488830248936628
"South Korea",2001,47712.788,13312.273,28990.273,5410.242,34533.07,0.186622664781391,0.607599643936129,0.423488144068169,10872.75,2.66632388310225,0.497596468234808
"South Korea",2002,48004.786,13025.972,29366.753,5612.061,34742.595,0.191102536940328,0.611746357956892,0.423488144068169,11148.035,2.63425374965184,0.503412574503039
"South Korea",2003,48265.026,12756.925,29697.975,5810.126,34884.609,0.195640477170582,0.615310452748953,0.423488144068169,11443.931,2.59508511542057,0.507703690279155
"South Korea",2004,48498.083,12505.061,29976.841,6016.181,35032.153,0.200694295973348,0.618103626900057,0.423488144068169,11739.235,2.55356000625254,0.512484927680551
"South Korea",2005,48708.497,12277.124,30194.757,6236.616,35220.035,0.206546321932645,0.619907384947641,0.423488144068169,12027.399,2.51049765622642,0.518534057114093
"South Korea",2006,48895.845,12072.908,30338.109,6484.828,35421.522,0.213751885458649,0.620463947396757,0.423488144068169,12347.52,2.45702043811227,0.525192751256933
"South Korea",2007,49062.429,11927.959,30390.581,6743.889,35627.799,0.221907208684164,0.619426751170432,0.423488144068169,12655.43,2.40138667749733,0.532885014574771
